timestamp,gpu_price_index,market_supply_index
2026-06-19T13:43:30.343327+00:00,2.15,1.0
2026-06-19T14:00:24.232174+00:00,2.15,1.0
2026-06-19T14:24:40.523561+00:00,2.15,1.0
2026-06-19T14:27:44.954077+00:00,2.15,1.0
2026-06-19T14:28:37.274021+00:00,2.15,1.0
2026-06-19T14:29:56.278547+00:00,2.15,1.0
2026-06-19T14:32:02.480081+00:00,2.15,1.0
2026-06-20T12:07:35.519363+00:00,2.15,1.0
2026-06-21T10:24:41.535312+00:00,2.15,1.0
2026-06-21T10:26:01.852580+00:00,2.15,1.0
2026-06-21T10:26:35.316112+00:00,2.15,1.0
2026-06-21T10:26:39.376893+00:00,2.15,1.0
