provider,gpu,forecast_signal,expected_outcome,observed_regime,confidence,backtest_result
runpod,A100 PCIe,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,A100 SXM,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,A100 SXM 40GB,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,A40,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,B200,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,B300,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,B300 MIG 34GB,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,H100 NVL,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,H100 PCIe,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,H100 SXM,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,H200 NVL,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,H200 SXM,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,L4,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,L40,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,L40S,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,MI300X,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,NVIDIA GeForce GTX 1050,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,NVIDIA GeForce GTX 1050 Ti,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,PRO 6000 MIG 24GB,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,PRO 6000 MIG 48GB,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 2000 Ada,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 3070,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 3080,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 3080 Ti,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 3090,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 3090 Ti,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 4000 Ada,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 4000 Ada SFF,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 4070 Ti,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 4080,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 4080 SUPER,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 4090,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 5000 Ada,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 5080,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 5090,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX 6000 Ada,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX A2000,insufficient_price_data,unknown,tight_market,45,not_evaluable
runpod,RTX A4000,insufficient_price_data,unknown,tight_market,45,not_evaluable
