model_name,provider,gpu,final_forecast_signal,decision_source,confidence,v4_signal,v4_score,baseline_prediction,baseline_confidence,support_rows,training_rows
forecast_engine_v5,runpod,A100 PCIe,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,A100 SXM,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,A100 SXM 40GB,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,A40,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,B200,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,B300,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,B300 MIG 34GB,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,H100 NVL,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,H100 PCIe,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,H100 SXM,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,H200 NVL,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,H200 SXM,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,L4,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,L40,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,L40S,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,MI300X,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,NVIDIA GeForce GTX 1050,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,NVIDIA GeForce GTX 1050 Ti,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,PRO 6000 MIG 24GB,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,PRO 6000 MIG 48GB,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,RTX 2000 Ada,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
forecast_engine_v5,runpod,RTX 3070,tight_market,learning_baseline,86.0,bullish,72.0,tight_market,100.0,1,1
