model_name,provider,gpu,baseline_prediction,baseline_confidence,support_rows,training_rows
learning_baseline_model_v1,runpod,A100 PCIe,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,A100 SXM,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,A100 SXM 40GB,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,A40,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,B200,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,B300,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,B300 MIG 34GB,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,H100 NVL,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,H100 PCIe,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,H100 SXM,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,H200 NVL,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,H200 SXM,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,L4,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,L40,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,L40S,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,MI300X,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,NVIDIA GeForce GTX 1050,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,NVIDIA GeForce GTX 1050 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,PRO 6000 MIG 24GB,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,PRO 6000 MIG 48GB,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 2000 Ada,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 3070,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 3080,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 3080 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 3090,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 3090 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 4000 Ada,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 4000 Ada SFF,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 4070 Ti,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 4080,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 4080 SUPER,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 4090,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 5000 Ada,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 5080,tight_market,100.0,1,1
learning_baseline_model_v1,runpod,RTX 5090,tight_market,100.0,1,1
