gpu,offers,avg_price,min_price,max_price
A100 SXM4,3,2.5542,1.0355,4.5574
B200,12,15.3035,3.4444,40.0069
B300,3,14.5854,6.2521,25.0021
H100 NVL,1,6.0015,6.0015,6.0015
H100 SXM,1,18.6681,18.6681,18.6681
H200,7,11.2483,3.212,29.4759
H200 NVL,6,5.1971,1.9436,11.7356
RTX 3080,1,0.0289,0.0289,0.0289
RTX 3080 Ti,2,0.0665,0.0396,0.0934
RTX 3090,5,0.2209,0.1356,0.2956
RTX 4090,6,0.6012,0.3644,1.0741
RTX 5060 Ti,2,0.1354,0.1022,0.1686
RTX 5070,3,0.2351,0.1188,0.3504
RTX 5070 Ti,3,0.3928,0.1356,0.6948
RTX 5080,1,0.2002,0.2002,0.2002
RTX 5090,12,0.9393,0.2129,2.6704
RTX 6000Ada,1,0.5644,0.5644,0.5644
RTX PRO 4500,1,0.3622,0.3622,0.3622
RTX PRO 5000,5,1.4028,0.7119,2.7741
RTX PRO 6000 S,12,3.4902,1.4526,6.9363
RTX PRO 6000 WS,9,2.2854,0.8689,6.4052
Tesla V100,4,0.0402,0.0209,0.0769
