provider,rows,market_share_pct,date,timestamp
vast,100,68.03,2026-06-17,2026-06-17 12:08:15
runpod,47,31.97,2026-06-17,2026-06-17 12:08:15
vast,100,68.03,2026-06-17,2026-06-17 12:08:35
runpod,47,31.97,2026-06-17,2026-06-17 12:08:35
vast,100,68.03,2026-06-17,2026-06-17 12:11:15
runpod,47,31.97,2026-06-17,2026-06-17 12:11:15
vast,100,68.03,2026-06-17,2026-06-17 12:13:11
runpod,47,31.97,2026-06-17,2026-06-17 12:13:11
vast,100,68.03,2026-06-17,2026-06-17 12:20:03
runpod,47,31.97,2026-06-17,2026-06-17 12:20:03
vast,100,68.03,2026-06-17,2026-06-17 12:21:52
runpod,47,31.97,2026-06-17,2026-06-17 12:21:52
vast,100,68.03,2026-06-17,2026-06-17 12:55:05
runpod,47,31.97,2026-06-17,2026-06-17 12:55:05
vast,100,68.03,2026-06-17,2026-06-17 13:01:55
runpod,47,31.97,2026-06-17,2026-06-17 13:01:55
vast,100,68.03,2026-06-29,2026-06-29 21:50:11
runpod,47,31.97,2026-06-29,2026-06-29 21:50:11
vast,100,68.03,2026-06-29,2026-06-29 21:57:36
runpod,47,31.97,2026-06-29,2026-06-29 21:57:36
vast,100,68.03,2026-06-29,2026-06-29 22:28:48
runpod,47,31.97,2026-06-29,2026-06-29 22:28:48
vast,100,68.03,2026-06-29,2026-06-29 22:35:09
runpod,47,31.97,2026-06-29,2026-06-29 22:35:09
vast,100,68.03,2026-06-29,2026-06-29 22:42:41
runpod,47,31.97,2026-06-29,2026-06-29 22:42:41
vast,100,68.03,2026-06-29,2026-06-29 22:46:16
runpod,47,31.97,2026-06-29,2026-06-29 22:46:16
