gpu,vast,runpod,providers_count
A100 PCIE,True,False,1
A100 PCIe,False,True,1
A100 SXM,False,True,1
A100 SXM 40GB,False,True,1
A100 SXM4,True,False,1
A40,False,True,1
B200,True,True,2
B300,True,True,2
H100 NVL,True,True,2
H100 PCIe,False,True,1
H100 SXM,True,True,2
H200,True,False,1
H200 NVL,True,True,2
H200 SXM,False,True,1
L4,False,True,1
L40,False,True,1
L40S,False,True,1
MI300X,False,True,1
PRO 6000 MIG 24GB,False,True,1
PRO 6000 MIG 48GB,False,True,1
RTX 2000 Ada,False,True,1
RTX 3070,False,True,1
RTX 3080,True,True,2
RTX 3080 Ti,True,True,2
RTX 3090,True,True,2
RTX 3090 Ti,False,True,1
RTX 4000 Ada,False,True,1
RTX 4000 Ada SFF,False,True,1
RTX 4070 Ti,False,True,1
RTX 4080,False,True,1
RTX 4080 SUPER,False,True,1
RTX 4090,True,True,2
RTX 5000 Ada,False,True,1
RTX 5060 Ti,True,False,1
RTX 5070,True,False,1
RTX 5070 Ti,True,False,1
RTX 5080,True,True,2
RTX 5090,True,True,2
RTX 6000 Ada,False,True,1
RTX A2000,False,True,1
RTX A4000,False,True,1
RTX A4500,False,True,1
RTX A5000,False,True,1
RTX A6000,False,True,1
RTX PRO 4000,False,True,1
RTX PRO 4500,True,True,2
RTX PRO 5000,True,True,2
RTX PRO 6000,False,True,1
RTX PRO 6000 MaxQ,False,True,1
RTX PRO 6000 S,True,False,1
RTX PRO 6000 WK,False,True,1
RTX PRO 6000 WS,True,False,1
Tesla V100,True,True,2
V100 SXM2,False,True,1
unknown,False,True,1
