provider,price_per_hour,availability,score,market_share
vast,1.05,2500.0,86.25892485744498,19.723725216225418
manual,1.6,1750.0,64.06121883039236,14.648059656612912
runpod_real,0.0,1.0,50.02,11.43743371420475
lambda_labs,1.875,1100.0,47.462365816866054,10.852612214109215
runpod,2.15,1000.0,41.863512803339745,9.572394097000405
coreweave,2.075,950.0,41.8450181706651,9.56816516586716
nebius,1.975,750.0,39.15369199376558,8.952774027290744
crusoe,2.075,650.0,35.8450181706651,8.196221897469949
tensordock,1.4666666666666666,0.0,30.806117261193005,7.0440408669914785
vast_real,3.820661735369724,1.0,0.02,0.004573144227990703
