provider,gpu,provider_family,gpu_family,future_market_regime,model_name,predicted_market_regime,prediction_correct,evaluation_split
runpod,A100 PCIe,gpu_marketplace_family,A100_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,A100 SXM,gpu_marketplace_family,A100_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,A100 SXM 40GB,gpu_marketplace_family,A100_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,A40,gpu_marketplace_family,other_gpu_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,B200,gpu_marketplace_family,B200_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,B300,gpu_marketplace_family,B300_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,B300 MIG 34GB,gpu_marketplace_family,B300_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,H100 NVL,gpu_marketplace_family,H100_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,H100 PCIe,gpu_marketplace_family,H100_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,H100 SXM,gpu_marketplace_family,H100_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,H200 NVL,gpu_marketplace_family,H200_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,H200 SXM,gpu_marketplace_family,H200_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,L4,gpu_marketplace_family,L4_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,L40,gpu_marketplace_family,L40_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,L40S,gpu_marketplace_family,L40_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,MI300X,gpu_marketplace_family,AMD_MI300_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,NVIDIA GeForce GTX 1050,gpu_marketplace_family,other_gpu_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,NVIDIA GeForce GTX 1050 Ti,gpu_marketplace_family,other_gpu_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,PRO 6000 MIG 24GB,gpu_marketplace_family,other_gpu_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,PRO 6000 MIG 48GB,gpu_marketplace_family,other_gpu_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 2000 Ada,gpu_marketplace_family,other_gpu_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 3070,gpu_marketplace_family,RTX30_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 3080,gpu_marketplace_family,RTX30_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 3080 Ti,gpu_marketplace_family,RTX30_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 3090,gpu_marketplace_family,RTX30_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 3090 Ti,gpu_marketplace_family,RTX30_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 4000 Ada,gpu_marketplace_family,other_gpu_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 4000 Ada SFF,gpu_marketplace_family,other_gpu_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 4070 Ti,gpu_marketplace_family,RTX40_family,tight_market,random_forest_model_v1,tight_market,True,train
runpod,RTX 4080,gpu_marketplace_family,RTX40_family,tight_market,random_forest_model_v1,tight_market,True,train
