timestamp,provider,activation_score
2026-06-17,vast,84.7
2026-06-17,runpod,82.1
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,88.0
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
2026-06-17,vast,64.9
2026-06-17,runpod,83.7
2026-06-17,coreweave,64.9
2026-06-17,lambda,64.3
2026-06-17,nebius,63.7
2026-06-17,crusoe,59.0
