timestamp,live_providers,total_providers,coverage_percentage
2026-06-17,2,6,33.33
2026-06-17,2,6,33.33
2026-06-17,2,6,33.33
2026-06-17,6,6,100.0
2026-06-17,6,6,100.0
2026-06-17,6,6,100.0
2026-06-17,6,6,100.0
2026-06-17,6,6,100.0
2026-06-17,6,6,100.0
2026-06-17,6,6,100.0
2026-06-17,6,6,100.0
2026-06-17,6,6,100.0
2026-06-17T14:52:06.046335,6,6,100.0
2026-06-17T14:53:37.208379,6,6,100.0
2026-06-17T17:40:18.613747,6,6,100.0
2026-06-17T18:07:40.700947,6,6,100.0
2026-06-17T18:08:16.639481,6,6,100.0
