timestamp,provider,market_share_estimate,momentum_signal
2026-06-17T18:36:08.943210,lambda,23.76,competitive_position
2026-06-17T18:36:08.943210,vast,21.12,competitive_position
2026-06-17T18:36:08.943210,coreweave,21.12,competitive_position
2026-06-17T18:36:08.943210,nebius,19.14,competitive_position
2026-06-17T18:36:08.943210,crusoe,14.52,emerging_position
2026-06-17T18:36:08.943210,runpod,0.33,weak_position
2026-06-17T18:36:12.361771,lambda,23.76,competitive_position
2026-06-17T18:36:12.361771,vast,21.12,competitive_position
2026-06-17T18:36:12.361771,coreweave,21.12,competitive_position
2026-06-17T18:36:12.361771,nebius,19.14,competitive_position
2026-06-17T18:36:12.361771,crusoe,14.52,emerging_position
2026-06-17T18:36:12.361771,runpod,0.33,weak_position
2026-06-17T18:40:36.873612,lambda,23.76,competitive_position
2026-06-17T18:40:36.873612,vast,21.12,competitive_position
2026-06-17T18:40:36.873612,coreweave,21.12,competitive_position
2026-06-17T18:40:36.873612,nebius,19.14,competitive_position
2026-06-17T18:40:36.873612,crusoe,14.52,emerging_position
2026-06-17T18:40:36.873612,runpod,0.33,weak_position
2026-06-17T18:41:15.686979,lambda,23.76,competitive_position
2026-06-17T18:41:15.686979,vast,21.12,competitive_position
2026-06-17T18:41:15.686979,coreweave,21.12,competitive_position
2026-06-17T18:41:15.686979,nebius,19.14,competitive_position
2026-06-17T18:41:15.686979,crusoe,14.52,emerging_position
2026-06-17T18:41:15.686979,runpod,0.33,weak_position
