date,year,month,quarter,gpu_generation,provider_generation,market_phase,event_count,source_count,timeline_version,created_at
2006-01-01,2006,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834607+00:00
2006-02-01,2006,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834725+00:00
2006-03-01,2006,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834733+00:00
2006-04-01,2006,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834735+00:00
2006-05-01,2006,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834737+00:00
2006-06-01,2006,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834738+00:00
2006-07-01,2006,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834740+00:00
2006-08-01,2006,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834741+00:00
2006-09-01,2006,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834742+00:00
2006-10-01,2006,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834744+00:00
2006-11-01,2006,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834745+00:00
2006-12-01,2006,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834746+00:00
2007-01-01,2007,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834748+00:00
2007-02-01,2007,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834749+00:00
2007-03-01,2007,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834750+00:00
2007-04-01,2007,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834751+00:00
2007-05-01,2007,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834752+00:00
2007-06-01,2007,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834754+00:00
2007-07-01,2007,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834755+00:00
2007-08-01,2007,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834757+00:00
2007-09-01,2007,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834758+00:00
2007-10-01,2007,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834759+00:00
2007-11-01,2007,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834760+00:00
2007-12-01,2007,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834761+00:00
2008-01-01,2008,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834762+00:00
2008-02-01,2008,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834764+00:00
2008-03-01,2008,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834765+00:00
2008-04-01,2008,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834766+00:00
2008-05-01,2008,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834767+00:00
2008-06-01,2008,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834768+00:00
2008-07-01,2008,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834769+00:00
2008-08-01,2008,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834770+00:00
2008-09-01,2008,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834772+00:00
2008-10-01,2008,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834773+00:00
2008-11-01,2008,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834774+00:00
2008-12-01,2008,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834775+00:00
2009-01-01,2009,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834776+00:00
2009-02-01,2009,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834777+00:00
2009-03-01,2009,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834779+00:00
2009-04-01,2009,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834781+00:00
2009-05-01,2009,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834782+00:00
2009-06-01,2009,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834784+00:00
2009-07-01,2009,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834785+00:00
2009-08-01,2009,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834786+00:00
2009-09-01,2009,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834787+00:00
2009-10-01,2009,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834788+00:00
2009-11-01,2009,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834789+00:00
2009-12-01,2009,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834790+00:00
2010-01-01,2010,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834792+00:00
2010-02-01,2010,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834793+00:00
2010-03-01,2010,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834794+00:00
2010-04-01,2010,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834795+00:00
2010-05-01,2010,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834797+00:00
2010-06-01,2010,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834798+00:00
2010-07-01,2010,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834799+00:00
2010-08-01,2010,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834800+00:00
2010-09-01,2010,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834801+00:00
2010-10-01,2010,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834802+00:00
2010-11-01,2010,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834803+00:00
2010-12-01,2010,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834804+00:00
2011-01-01,2011,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834806+00:00
2011-02-01,2011,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834807+00:00
2011-03-01,2011,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834808+00:00
2011-04-01,2011,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834809+00:00
2011-05-01,2011,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834810+00:00
2011-06-01,2011,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834812+00:00
2011-07-01,2011,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834813+00:00
2011-08-01,2011,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834814+00:00
2011-09-01,2011,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834815+00:00
2011-10-01,2011,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834816+00:00
2011-11-01,2011,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834817+00:00
2011-12-01,2011,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834819+00:00
2012-01-01,2012,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834820+00:00
2012-02-01,2012,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834821+00:00
2012-03-01,2012,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834822+00:00
2012-04-01,2012,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834823+00:00
2012-05-01,2012,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834825+00:00
2012-06-01,2012,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834826+00:00
2012-07-01,2012,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834827+00:00
2012-08-01,2012,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834829+00:00
2012-09-01,2012,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834831+00:00
2012-10-01,2012,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834832+00:00
2012-11-01,2012,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834833+00:00
2012-12-01,2012,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834834+00:00
2013-01-01,2013,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834835+00:00
2013-02-01,2013,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834836+00:00
2013-03-01,2013,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834838+00:00
2013-04-01,2013,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834839+00:00
2013-05-01,2013,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834840+00:00
2013-06-01,2013,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834841+00:00
2013-07-01,2013,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834842+00:00
2013-08-01,2013,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834844+00:00
2013-09-01,2013,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834846+00:00
2013-10-01,2013,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834848+00:00
2013-11-01,2013,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834849+00:00
2013-12-01,2013,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834850+00:00
2014-01-01,2014,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834851+00:00
2014-02-01,2014,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834852+00:00
2014-03-01,2014,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834854+00:00
2014-04-01,2014,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834855+00:00
2014-05-01,2014,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834856+00:00
2014-06-01,2014,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834857+00:00
2014-07-01,2014,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834858+00:00
2014-08-01,2014,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834859+00:00
2014-09-01,2014,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834861+00:00
2014-10-01,2014,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834863+00:00
2014-11-01,2014,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834864+00:00
2014-12-01,2014,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834865+00:00
2015-01-01,2015,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834866+00:00
2015-02-01,2015,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834868+00:00
2015-03-01,2015,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834869+00:00
2015-04-01,2015,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834870+00:00
2015-05-01,2015,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834872+00:00
2015-06-01,2015,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834873+00:00
2015-07-01,2015,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834874+00:00
2015-08-01,2015,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834875+00:00
2015-09-01,2015,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834876+00:00
2015-10-01,2015,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834877+00:00
2015-11-01,2015,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834878+00:00
2015-12-01,2015,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834880+00:00
2016-01-01,2016,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834882+00:00
2016-02-01,2016,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834883+00:00
2016-03-01,2016,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834884+00:00
2016-04-01,2016,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834885+00:00
2016-05-01,2016,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834886+00:00
2016-06-01,2016,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834887+00:00
2016-07-01,2016,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834889+00:00
2016-08-01,2016,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834890+00:00
2016-09-01,2016,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834891+00:00
2016-10-01,2016,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834892+00:00
2016-11-01,2016,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834894+00:00
2016-12-01,2016,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834895+00:00
2017-01-01,2017,1,Q1,,,,0,0,v1,2026-06-25T17:24:27.834896+00:00
2017-02-01,2017,2,Q1,,,,0,0,v1,2026-06-25T17:24:27.834897+00:00
2017-03-01,2017,3,Q1,,,,0,0,v1,2026-06-25T17:24:27.834898+00:00
2017-04-01,2017,4,Q2,,,,0,0,v1,2026-06-25T17:24:27.834899+00:00
2017-05-01,2017,5,Q2,,,,0,0,v1,2026-06-25T17:24:27.834900+00:00
2017-06-01,2017,6,Q2,,,,0,0,v1,2026-06-25T17:24:27.834901+00:00
2017-07-01,2017,7,Q3,,,,0,0,v1,2026-06-25T17:24:27.834903+00:00
2017-08-01,2017,8,Q3,,,,0,0,v1,2026-06-25T17:24:27.834904+00:00
2017-09-01,2017,9,Q3,,,,0,0,v1,2026-06-25T17:24:27.834905+00:00
2017-10-01,2017,10,Q4,,,,0,0,v1,2026-06-25T17:24:27.834906+00:00
2017-11-01,2017,11,Q4,,,,0,0,v1,2026-06-25T17:24:27.834907+00:00
2017-12-01,2017,12,Q4,,,,0,0,v1,2026-06-25T17:24:27.834908+00:00
