module_path,layer,module_type,status
analytics/__init__.py,platform,python,active
analytics/admin_summary.py,platform,python,active
analytics/ai_index_history.py,platform,python,active
analytics/ai_infrastructure_index.py,platform,python,active
analytics/ai_infrastructure_pulse.py,platform,python,active
analytics/alert_engine.py,platform,python,active
analytics/api_inventory_runtime.py,platform,python,active
analytics/api_product_status.py,platform,python,active
analytics/archive_daily_snapshot.py,platform,python,active
analytics/archive_live_provider_data.py,platform,python,active
analytics/archive_raw_provider_data.py,platform,python,active
analytics/backtest.py,platform,python,active
analytics/build_amd_historical_gpu_registry.py,registry,python,active
analytics/build_analytics_dashboard.py,registry,python,active
analytics/build_cloud_provider_registry_v2.py,registry,python,active
analytics/build_cuda_timeline.py,registry,python,active
analytics/build_data_asset_registry.py,registry,python,active
analytics/build_data_lineage_registry.py,registry,python,active
analytics/build_data_quality_metrics.py,registry,python,active
analytics/build_decision_summary.py,registry,python,active
analytics/build_dependency_graph.py,registry,python,active
analytics/build_duckdb_analytics_layer.py,registry,python,active
analytics/build_feature_store.py,registry,python,active
analytics/build_forecast_dataset.py,registry,python,active
analytics/build_forecast_explanations.py,registry,python,active
analytics/build_forecast_run_summary.py,registry,python,active
analytics/build_historical_capacity_registry.py,registry,python,active
analytics/build_historical_entity_registry.py,registry,python,active
analytics/build_historical_pricing_registry.py,registry,python,active
analytics/build_historical_registry_catalog.py,registry,python,active
analytics/build_historical_relationship_registry.py,registry,python,active
analytics/build_historical_source_registry.py,registry,python,active
analytics/build_intel_historical_gpu_registry.py,registry,python,active
analytics/build_module_registry.py,registry,python,active
analytics/build_nvidia_historical_gpu_registry.py,registry,python,active
analytics/build_oneapi_timeline.py,registry,python,active
analytics/build_pipeline_dashboard.py,registry,python,active
analytics/build_pipeline_health_summary.py,registry,python,active
analytics/build_pipeline_run_registry.py,registry,python,active
analytics/build_provider_entity_registry.py,registry,python,active
analytics/build_provider_relationship_registry.py,registry,python,active
analytics/build_registry_catalog_v2.py,registry,python,active
analytics/build_registry_explorer.py,registry,python,active
analytics/build_registry_metadata.py,registry,python,active
analytics/build_release_report.py,registry,python,active
analytics/build_rocm_timeline.py,registry,python,active
analytics/build_synapseai_timeline.py,registry,python,active
analytics/build_unified_accelerator_registry.py,registry,python,active
analytics/build_unified_hardware_registry.py,registry,python,active
analytics/build_unified_software_stack_registry.py,registry,python,active
analytics/build_web_console.py,registry,python,active
analytics/build_web_dashboard.py,registry,python,active
analytics/builders/csv_loader.py,platform,python,active
analytics/builders/csv_writer.py,platform,python,active
analytics/builders/join_utils.py,platform,python,active
analytics/builders/registry_builder.py,registry,python,active
analytics/commercial_readiness.py,platform,python,active
analytics/cron_health.py,platform,python,active
analytics/customer_pipeline_summary.py,platform,python,active
analytics/customer_value.py,platform,python,active
analytics/customer_value_score.py,platform,python,active
analytics/daily_intelligence_summary.py,intelligence,python,active
analytics/daily_report.py,platform,python,active
analytics/daily_terminal_brief.py,platform,python,active
analytics/dashboard_health.py,web,python,active
analytics/data_freshness.py,platform,python,active
analytics/data_moat_score.py,platform,python,active
analytics/data_quality.py,platform,python,active
analytics/data_source_status.py,platform,python,active
analytics/data_validator.py,platform,python,active
analytics/executive_ai_infrastructure_memo.py,decision,python,active
analytics/executive_dashboard.py,decision,python,active
analytics/feedback_summary.py,platform,python,active
analytics/forecast_accuracy.py,forecast,python,active
analytics/forecast_signal.py,forecast,python,active
analytics/forecasting_engine.py,forecast,python,active
